title,price,location,year,brand,condition,posted,link,image
Mercedes Benz C- Class 1995 Model On Sale!,"रू. 26,50,000","Madhyapur Thimi-1, Bhaktapur, Bagmati Pradesh",1995,Mercedes,| Like New,2 days ago,https://hamrobazaar.com/product/mercedes-benz-c-class-1995-model-on-sale-in-bhaktapur/75b0afb2a8ef9127ace9e59fc7563c0f,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/31192d0f-f8a4-ccf1-559b-853f19829783.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
Mercedes Benz. C-Classs C250 Pure German Car 1995,"रू. 26,50,000","Bagmati Petrol Pump, Araniko Highway, Balkumari, Madhyapur Thimi Municipality, Bhaktapur",1995,Mercedes,| Like New,2 days ago,https://hamrobazaar.com/product/mercedes-benz-cclasss-c250pure-german-car-1995-in-bhaktapur/77bf82808d0e842e4c56d4b2f2214da1,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/681a8199-07aa-806b-4aee-7f7b38431277.jpeg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Mercedes Benz Class C 250 2500cc,"रू. 26,30,000","Sangam Colony, Madhyapur Thimi-5, Bhaktapur, Bagmati Pradesh",,Mercedes,| Like New,2 days ago,https://hamrobazaar.com/product/mercedes-benz-class-c-250-2500cc-in-bhaktapur/e0cd4f02d786e7b34040bff45560a6fe,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/3c0a5426-92a3-e239-247a-52d4dfbb8177.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Datsun 2017 For Sale And Exchange,"रू. 13,75,000","Dibya Marg, Kathmandu-6, Kathmandu, Bagmati Pradesh",2017,Datsun,| Like New,2 days ago,https://hamrobazaar.com/product/datsun-2017-for-sale-and-exchange-in-kathmandu/6b175b2f166a0427cf7d3bb31b980a97,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/763a804f-80e7-8f85-af05-1a1e54e37da8.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
For Sale Grand I10 Sportz,"रू. 21,75,000","Sangam Colony, RadheRadhe Road, Madhyapur Thimi-9, Bhaktapur, Bagmati Pradesh",,,| Like New,2 days ago,https://hamrobazaar.com/product/for-sale-grand-i10-sportz-in-bhaktapur/f376430e2761ec872f6328b87ac5ec95,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/addc04bf-55c8-4b8c-2fb7-7db7839ec520.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Swift Dizer 2013 Model,"रू. 14,99,999","Kathmandu-31, Kathmandu",2013,,| Like New,2 days ago,https://hamrobazaar.com/product/swift-dizer-2013-model-in-kathmandu/31baacb15f090eb61f30f9f35b6a006b,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/30/c322868e-c968-9503-3d25-6dd52c340a54.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
KIA Sonet GT Line 2020 Diesel Sunroof For Sale !!,"रू. 40,50,000","Delight Motors Pvt Ltd, Lalitpur-4, Lalitpur",2020,Kia,| Like New,3 days ago,https://hamrobazaar.com/product/kia-sonet-gt-line-2020-diesel-sunroof-for-sale-in-lalitpur/eb9c5df0391bb31d983ecc51203d20e4,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/29/acff7fb3-8806-f616-c8fd-6f6f6353b171.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
Advance Byd Atto 3,"रू. 45,00,000",Raaz Auto Club Balkhu Kathmandu,,,| Like New,3 days ago,https://hamrobazaar.com/product/advance-byd-atto-3-in-kathmandu/1ffe2329b04ef8516a35056503797ed5,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/29/522adf30-f213-b636-656b-38e99a78e215.jpeg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
I10 Magna 1.2 Urgent Sell !!!!,"रू. 12,50,000","Shubharambha Dajubhai Automobiles, Kathmandu-32, Kathmandu",,,| Used,3 days ago,https://hamrobazaar.com/product/i10-magna-12-urgent-sell-in-kathmandu/a1d35482c7bd72fd4fd2d0024c034b35,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/29/537a5545-7d36-a4ab-edf9-4dec877777da.webp?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Tata Tigor For Selfdrive Hire Self Drive Car Rent,"रू. 3,900","Kirtan Chok, Ichhunadi Marg, Kathmandu-4, Kathmandu, Bagmati Pradesh",,Tata,| Like New,3 days ago,https://hamrobazaar.com/product/tata-tigor-for-selfdrive-hire-self-drive-car-rent-in-kathmandu/ceea85c458d0dc5faf30ab762b77c3b2,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/29/3bcff312-4fda-bcce-c37a-d672829e18b5.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
2014 MODEL TOYOTA ETIOS CROSS (FULLY FRESH ‼️,"रू. 23,00,000","Itachhen, itachhen, Bhaktapur-2, Bhaktapur, Bagmati Pradesh",2014,Toyota,| Brand New,3 days ago,https://hamrobazaar.com/product/2014-model-toyota-etios-cross-fully-fresh-in-bhaktapur/bc70d92b6d85a99f1b1df9fa5b738c30,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/28/4f227bda-f0d7-1b6d-bf56-32c5d24d7e6c.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
1990 MODEL MITSUBISHI PAJERO SUV JEEP 4WD ‼️,"रू. 8,00,000","Itachhen, Bhaktapur-2, Bhaktapur, Bagmati Pradesh",1990,Mitsubishi,| Like New,3 days ago,https://hamrobazaar.com/product/1990-model-mitsubishi-pajero-suv-jeep-4wd-in-bhaktapur/be176d300e74204fba438bb201c0acf9,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/28/c5c6da7a-fd3b-97d8-8b75-41a9cdabd0bb.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
Tata Winger School Van,"रू. 15,00,000","Gatthaghar, Balkumari, Madhyapur Thimi Municipality, Bhaktapur",,Tata,| Brand New,4 days ago,https://hamrobazaar.com/product/tata-winger-school-van-in-bhaktapur/c1aedcdd87f5dcad35a3a54c39adf185,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/28/e3fe785e-38ec-f5da-3e46-0184b7ef3ebb.jpeg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp/resize,p_40,limit_0"
KIA SPORTAGE 4WD JEEP 9766892933,"रू. 21,00,000","Dudhpati, Bhaktapur-1, Bhaktapur, Bagmati Pradesh",,Kia,| Like New,4 days ago,https://hamrobazaar.com/product/kia-sportage-4wd-jeep-9766892933-in-bhaktapur/547d517d054b507dd10b8ca1d81b01e3,"https://hamrobazaar.blr1.cdn.digitaloceanspaces.com/User/Posts/2025/07/28/10d8c4d9-bde4-521d-a840-7e74289e9409.jpg?x-image-process=image/resize,m_lfit,h_320,w_320/format,webp"
